,Make,count
0,CESSNA,8475
1,PIPER,4715
2,BEECH,1692
3,BOEING,1324
4,MOONEY,419
5,BELLANCA,282
6,GRUMMAN,251
7,AIRBUS,245
8,MAULE,232
9,AERONCA,229
10,AIR TRACTOR,224
11,CIRRUS DESIGN CORP,220
12,AIR TRACTOR INC,219
13,CHAMPION,170
14,LUSCOMBE,164
15,EMBRAER,155
16,STINSON,146
17,CIRRUS,137
18,VANS,125
19,NORTH AMERICAN,118
20,MCDONNELL DOUGLAS,115
21,TAYLORCRAFT,110
22,AERO COMMANDER,107
23,DEHAVILLAND,95
24,DE HAVILLAND,88
25,AVIAT AIRCRAFT INC,76
26,SOCATA,75
27,DIAMOND AIRCRAFT IND INC,74
28,AVIAT,70
29,ERCOUPE,66
30,BOMBARDIER INC,65
31,RAYTHEON AIRCRAFT COMPANY,62
32,ROCKWELL INTERNATIONAL,61
33,AYRES,59
34,GRUMMAN ACFT ENG COR-SCHWEIZER,58
35,ROCKWELL,57
36,DOUGLAS,55
37,RANS,54
38,SWEARINGEN,52
39,AMERICAN CHAMPION AIRCRAFT,52
40,BOMBARDIER,50
41,DIAMOND,49
42,FLIGHT DESIGN GMBH,49
43,GRUMMAN AMERICAN AVN. CORP.,49
44,LEARJET,48
45,WACO,44
46,AIRBUS INDUSTRIE,43
47,QUICKSILVER,43
48,ZENITH,43
49,AYRES CORPORATION,41
50,FAIRCHILD,39
51,GRUMMAN AMERICAN,38
52,LAKE,36
53,MOONEY AIRCRAFT CORP.,34
54,LANCAIR,33
55,COSTRUZIONI AERONAUTICHE TECNA,33
56,MITSUBISHI,32
57,PITTS,30
58,GULFSTREAM,30
59,EVEKTOR-AEROTECHNIK AS,30
60,HELIO,29
61,CIRRUS DESIGN CORP.,28
62,FLIGHT DESIGN,27
63,PIPER AIRCRAFT INC,27
64,LOCKHEED,27
65,SMITH,27
66,GLOBE,26
67,AMERICAN AVIATION,26
68,NAVION,26
69,PILATUS,26
70,WEATHERLY,25
71,RYAN,25
72,GREAT LAKES,25
73,CESSNA AIRCRAFT CO,24
74,CUB CRAFTERS,23
75,CUBCRAFTERS INC,22
76,ZENAIR,21
77,YAKOVLEV,20
78,AMERICAN,20
79,BAE,20
80,CUB CRAFTERS INC,20
81,SCHWEIZER AIRCRAFT CORP,20
82,BEECHCRAFT,19
83,RAYTHEON,19
84,ENGINEERING & RESEARCH,18
85,GRUMMAN-SCHWEIZER,18
86,AMERICAN LEGEND AIRCRAFT CO,17
87,CONSOLIDATED AERONAUTICS INC.,17
88,ATR,17
89,FOKKER,17
90,KITFOX,16
91,CHRISTEN INDUSTRIES INC,16
92,WSK PZL MIELEC,16
93,CZECH AIRCRAFT WORKS SPOL SRO,15
94,QUAD CITY,15
95,CANADAIR,15
96,VANS AIRCRAFT,14
97,QUICKIE,14
98,HAWKER BEECHCRAFT,14
99,DIAMOND AIRCRAFT INDUSTRIES,14
100,SILVAIRE,14
101,COLUMBIA AIRCRAFT MFG,14
102,GULFSTREAM AEROSPACE,14
103,STEARMAN,14
104,TITAN,13
105,SAAB,13
106,SIAI-MARCHETTI,13
107,ERCOUPE (ENG & RESEARCH CORP.),13
108,HAWKER BEECHCRAFT CORP,13
109,AMERICAN CHAMPION (ACAC),13
110,TEXTRON AVIATION INC,13
111,TEMCO,13
112,GLASAIR,13
113,REMOS AIRCRAFT GMBH,13
114,KOLB,13
115,VANS AIRCRAFT INC,12
116,THRUSH AIRCRAFT INC,12
117,AERO VODOCHODY,12
118,CZECH SPORT AIRCRAFT AS,12
119,ISRAEL AIRCRAFT INDUSTRIES,12
120,BRITTEN NORMAN,12
121,CURTISS WRIGHT,12
122,EAGLE,12
123,ALON,12
124,AEROPRO CZ,12
125,TECNAM,11
126,EXTRA,11
127,AEROTEK,11
128,PIPER AIRCRAFT CORPORATION,11
129,CIRRUS DESIGN CORPORATION,11
130,GULFSTREAM AMERICAN CORP,11
131,CESSNA AIRCRAFT COMPANY,11
132,SCHWEIZER,11
133,EXTRA FLUGZEUGBAU GMBH,11
134,LEARJET INC,11
135,GULFSTREAM AMERICAN,10
136,AVIAT INC,10
137,PIETENPOL,10
138,MOONEY AIRPLANE CO INC,10
139,BRITISH AEROSPACE,10
140,BRITTEN-NORMAN,10
141,RUTAN,10
142,CESSNA AIRCRAFT,10
143,AMERICAN CHAMPION,9
144,PIPISTREL,9
145,THE BOEING COMPANY,9
146,GULFSTREAM-SCHWEIZER A/C CORP,9
147,CHRISTEN INDUSTRIES,9
148,BOEING COMPANY,9
149,PIAGGIO,9
150,AVID,9
151,EMBRAER S A,9
152,WEATHERLY AVIATION CO INC,9
153,REIMS,9
154,JABIRU USA SPORT AIRCRAFT LLC,9
155,REPUBLIC,9
156,CONVAIR,9
157,GENERAL ATOMICS,8
158,HAWKER,8
159,DASSAULT,8
160,CUBCRAFTERS,8
161,SNOW,8
162,PILATUS AIRCRAFT LTD,8
163,"BOMBARDIER, INC.",8
164,RYAN AERONAUTICAL,8
165,GATES LEARJET CORP.,8
166,THORP,8
167,WACO CLASSIC AIRCRAFT,8
168,AMERICAN LEGEND,8
169,JABIRU,8
170,AIRCRAFT MFG & DEV. CO. (AMD),8
171,TL ULTRALIGHT SRO,8
172,UNKNOWN,7
173,FLEET,7
174,DORNIER,7
175,CASSUTT,7
176,MEYERS,7
177,GATES LEARJET,7
178,LANCAIR COMPANY,7
179,JUST,7
180,GULFSTREAM-SCHWEIZER,7
181,HAWKER BEECHCRAFT CORPORATION,7
182,ROBIN,7
183,LIBERTY AEROSPACE INCORPORATED,7
184,HAWKER BEECHCRAFT CORP.,7
185,DIAMOND AIRCRAFT IND GMBH,7
186,PIPER AIRCRAFT,7
187,UNIVERSAL STINSON,7
188,ARION AIRCRAFT LLC,7
189,SHORT BROS,7
190,QUEST,7
191,DASSAULT-BREGUET,6
192,REMOS ACFT GMBH FLUGZEUGBAU,6
193,NANCHANG CHINA,6
194,GATES LEAR JET,6
195,ANTONOV,6
196,NEW PIPER AIRCRAFT INC,6
197,SONEX,6
198,SAAB-SCANIA AB (SAAB),6
199,NANCHANG,6
200,SMITH MINIPLANE,6
201,AIR TRACTOR INC.,6
202,EIPPER,6
203,EVEKTOR AEROTECHNIK,6
204,QUEST AIRCRAFT COMPANY LLC,6
205,JOHNSON,6
206,EMBRAER-EMPRESA BRASILEIRA DE,6
207,MCDONNELL DOUGLAS AIRCRAFT CO,6
208,FISHER,6
209,SUKHOI,6
210,HAWKER SIDDELEY,6
211,MILLER,5
212,VELOCITY,5
213,SCOTTISH AVIATION,5
214,THRUSH,5
215,CLASSIC AIRCRAFT CORP,5
